Store,Dept,Current_Stock,Lead_Time,Ordering_Cost,Holding_Cost,Supplier_ID
1,1,302,6,433,11,S002
1,2,635,5,432,5,S001
1,3,470,4,426,11,S002
1,4,306,7,114,15,S001
1,5,271,4,426,13,S003
1,6,900,4,201,16,S005
1,7,220,2,325,7,S005
1,8,814,5,377,8,S001
1,9,321,6,212,8,S005
1,10,666,3,100,17,S001
1,11,414,3,365,23,S001
1,12,530,4,307,14,S004
1,13,658,5,209,9,S004
1,14,287,7,299,11,S004
1,16,572,2,468,20,S002
1,17,299,5,405,5,S004
1,18,863,5,111,16,S001
1,19,330,2,444,6,S003
1,20,861,4,287,11,S004
1,21,508,5,253,15,S004
1,22,969,3,467,17,S003
1,23,543,2,433,6,S001
1,24,691,7,476,11,S002
1,25,613,6,378,19,S004
1,26,585,4,270,15,S003
1,27,391,2,233,6,S001
1,28,476,6,124,11,S005
1,29,360,6,117,8,S002
1,30,659,7,289,15,S003
1,31,513,5,240,6,S003
1,32,221,7,142,20,S003
1,33,452,5,433,11,S004
1,34,947,5,383,17,S005
1,35,760,2,245,9,S002
1,36,674,2,414,21,S001
1,37,258,4,418,16,S001
1,38,710,5,191,23,S005
1,40,881,6,278,11,S003
1,41,675,3,155,10,S003
1,42,899,4,254,12,S003
1,44,982,2,259,17,S003
1,45,389,7,210,9,S003
1,46,886,4,236,6,S005
1,47,762,4,331,13,S004
1,48,766,4,319,15,S002
1,49,443,4,167,10,S003
1,51,704,3,401,11,S004
1,52,330,7,348,11,S001
1,54,684,7,422,23,S005
1,55,846,7,491,10,S004
1,56,220,5,105,15,S003
1,58,366,6,379,15,S003
1,59,473,7,193,11,S003
1,60,587,4,368,6,S004
1,67,800,4,296,23,S003
1,71,515,7,124,8,S004
1,72,213,7,247,10,S003
1,74,441,4,217,21,S001
1,77,976,5,437,9,S001
1,78,545,2,466,11,S002
1,79,764,2,437,13,S003
1,80,539,7,165,5,S003
1,81,291,3,400,5,S004
1,82,566,7,469,23,S004
1,83,654,7,274,10,S003
1,85,627,2,418,22,S002
1,87,708,4,175,14,S003
1,90,975,7,213,15,S004
1,91,234,4,210,5,S003
1,92,405,4,348,5,S004
1,93,280,3,302,17,S003
1,94,761,4,246,9,S005
1,95,587,2,134,24,S004
1,96,201,5,408,5,S002
1,97,589,5,125,24,S005
1,98,765,6,337,7,S003
1,99,305,7,113,22,S004
2,1,971,2,473,13,S005
2,2,676,4,144,18,S002
2,3,902,5,315,21,S004
2,4,601,2,332,18,S005
2,5,929,5,292,8,S005
2,6,755,4,150,9,S005
2,7,361,5,474,21,S001
2,8,401,7,313,6,S003
2,9,469,7,250,9,S004
2,10,470,6,374,8,S004
2,11,655,6,437,8,S004
2,12,661,5,175,10,S005
2,13,926,2,319,24,S003
2,14,451,7,447,17,S002
2,16,901,2,286,9,S004
2,17,495,2,388,11,S003
2,18,924,5,127,24,S003
2,19,919,2,478,5,S001
2,20,948,7,279,18,S004
2,21,537,4,352,8,S005
2,22,252,6,225,21,S003
2,23,991,4,276,18,S003
2,24,416,2,136,20,S002
2,25,963,4,198,18,S001
2,26,387,7,197,20,S003
2,27,579,7,226,24,S003
2,28,692,2,267,12,S005
2,29,240,5,179,7,S005
2,30,356,4,393,23,S002
2,31,214,5,432,5,S002
2,32,264,5,225,6,S002
2,33,720,3,442,19,S005
2,34,543,2,409,14,S005
2,35,328,6,249,22,S001
2,36,847,7,115,18,S004
2,37,671,7,127,21,S004
2,38,262,2,272,17,S001
2,39,338,6,145,5,S004
2,40,698,7,427,9,S005
2,41,792,2,335,17,S004
2,42,591,7,313,18,S005
2,44,874,5,184,7,S001
2,45,618,4,381,19,S002
2,46,488,4,331,23,S001
2,47,578,7,184,21,S004
2,48,972,3,164,7,S005
2,49,689,6,233,20,S004
2,51,430,6,250,18,S004
2,52,240,6,214,16,S002
2,54,227,5,163,16,S004
2,55,334,6,442,15,S002
2,56,400,4,462,21,S005
2,58,979,5,451,12,S005
2,59,232,2,257,21,S002
2,60,247,6,176,24,S001
2,67,702,6,245,15,S005
2,71,606,2,442,6,S001
2,72,773,6,324,14,S005
2,74,927,2,412,14,S005
2,77,298,5,202,15,S003
2,78,883,4,446,10,S004
2,79,925,2,400,8,S004
2,80,746,3,187,16,S001
2,81,938,2,470,15,S004
2,82,812,6,402,17,S001
2,83,661,5,267,9,S005
2,85,842,7,269,10,S003
2,87,968,5,234,5,S003
